gene_symbol	Ensembl_ID	length	R20240001_01_EKRN240009369-1A_22375FLT4_L6	R20240001_03_EKRN240009371-1A_22375FLT4_L6	R20240001_04_EKRN240009372-1A_22375FLT4_L6	R20240001_02_EKRN240009370-1A_22375FLT4_L6
FAM86JP	ENSG00000171084	3168	34	5	43	34
	ENSG00000214135	4092	795	740	692	855
	ENSG00000289509	990	0	0	0	0
ZKSCAN7-AS1	ENSG00000236869	914	44	33	26	28
NECTIN3-AS1	ENSG00000242242	3534	6	5	1	6
ALG1L	ENSG00000189366	2190	16	7	26	11
KIF9-AS1	ENSG00000227398	7545	50	28	62	84
AADACP1	ENSG00000240602	2031	0	0	0	0
LINC02037	ENSG00000238097	5099	0	0	0	0
NUDT16L2P	ENSG00000246082	2526	2	24	4	3
	ENSG00000288831	1437	0	0	0	0
	ENSG00000223930	11298	0	0	0	0
	ENSG00000289446	1264	0	0	0	1
LRRC77P	ENSG00000244227	7708	0	0	0	0
FAM86DP	ENSG00000244026	3910	158	153	190	220
	ENSG00000239828	4811	0	0	1	2
LINC00884	ENSG00000233058	9424	1	0	2	10
	ENSG00000229271	1311	0	0	0	0
	ENSG00000289450	1832	0	0	0	0
	ENSG00000289118	428	0	0	0	0
	ENSG00000250934	5994	0	0	1	1
	ENSG00000289351	996	2	0	0	0
MBNL1-AS1	ENSG00000229619	8238	15	47	14	30
	ENSG00000287042	1049	10	30	12	16
ENTPD3-AS1	ENSG00000223797	6253	40	21	18	41
ITGA9-AS1	ENSG00000235257	19228	24	1	31	36
	ENSG00000289420	1067	0	0	0	0
	ENSG00000235978	2260	0	0	0	2
LINC00960	ENSG00000242516	6589	24	34	18	27
	ENSG00000289460	363	0	0	1	2
	ENSG00000230084	3106	88	118	82	80
	ENSG00000287158	5638	0	0	0	0
	ENSG00000289358	1786	0	0	0	0
	ENSG00000288895	2151	0	0	0	0
NCK1-DT	ENSG00000239213	5815	61	105	68	81
MELTF-AS1	ENSG00000228109	1139	62	20	73	71
	ENSG00000243273	986	0	0	0	1
	ENSG00000286584	1112	13	40	11	11
	ENSG00000287045	4209	8	26	4	6
EIF1B-AS1	ENSG00000280739	19385	13	0	2	9
	ENSG00000288868	1887	5	15	6	9
	ENSG00000289165	513	0	0	0	1
LINC02158	ENSG00000225611	996	0	0	0	0
	ENSG00000289435	489	0	0	0	0
CCR5AS	ENSG00000223552	1657	0	0	0	0
	ENSG00000289558	890	15	51	24	36
	ENSG00000289331	230	0	0	0	0
LINC01063	ENSG00000232065	461	10	0	8	13
SLC66A1L	ENSG00000174899	3342	0	0	0	0
TMCC1-DT	ENSG00000271270	7705	148	153	149	136
TIPARP-AS1	ENSG00000243926	1325	5	45	14	11
	ENSG00000289130	807	2	0	0	0
SEMA3B-AS1	ENSG00000232352	518	32	0	40	29
WDR5B-DT	ENSG00000272758	2901	20	12	26	35
LINC00888	ENSG00000240024	2135	283	442	324	363
EMC3-AS1	ENSG00000180385	3722	265	151	243	302
	ENSG00000289069	625	0	0	0	0
THUMPD3-AS1	ENSG00000206573	9533	996	1926	930	1013
	ENSG00000289078	677	0	0	0	0
	ENSG00000288700	7315	4	0	0	0
	ENSG00000288794	1536	0	0	0	0
	ENSG00000288969	1080	0	0	0	0
	ENSG00000289507	1319	68	106	66	58
	ENSG00000289417	1308	0	0	0	0
	ENSG00000288972	810	3	5	3	4
	ENSG00000289519	1142	43	49	42	48
	ENSG00000289233	1125	0	0	0	0
	ENSG00000289396	1463	5	47	7	7
	ENSG00000289279	2072	0	0	0	0
CIDECP1	ENSG00000186162	3053	132	61	143	178
	ENSG00000289632	1366	0	0	0	0
	ENSG00000289504	2535	6	0	3	1
	ENSG00000289138	1651	67	165	50	79
	ENSG00000288780	2048	0	0	0	0
	ENSG00000289629	737	8	49	10	4
	ENSG00000289574	1580	9	19	12	12
SOX2-OT	ENSG00000242808	31763	1	0	2	3
	ENSG00000289134	1217	0	0	0	0
	ENSG00000288793	1487	0	0	0	0
	ENSG00000271943	3758	8	60	14	6
	ENSG00000287595	1636	1	0	0	2
	ENSG00000242622	3537	125	103	136	143
	ENSG00000289315	898	0	0	0	0
	ENSG00000288769	1664	0	0	0	0
	ENSG00000288806	1290	1	0	2	1
	ENSG00000239268	1531	5	0	6	13
	ENSG00000287110	3561	60	45	44	38
ITPR1-DT	ENSG00000231249	2885	24	25	28	37
LINC00877	ENSG00000241163	11275	26	27	25	35
LINC02027	ENSG00000243694	4876	0	0	0	0
FGD5-AS1	ENSG00000225733	6045	5888	6486	5275	6244
MYLK-AS1	ENSG00000239523	4505	40	15	55	54
LINC01322	ENSG00000244128	16105	0	0	0	1
	ENSG00000289469	1722	10	0	5	0
LINC00881	ENSG00000241135	4735	0	0	0	0
FAM86HP	ENSG00000253540	4911	85	69	103	106
ARHGEF26-AS1	ENSG00000243069	10263	4	0	3	2
COPB2-DT	ENSG00000248932	14080	108	58	110	113
TMEM44-AS1	ENSG00000231770	1603	102	92	109	140
EEF1GP4	ENSG00000240138	1307	0	0	0	0
PSMC1P7	ENSG00000243838	1315	0	0	0	0
SPTSSB	ENSG00000196542	3739	8	38	14	13
LINC02067	ENSG00000240567	2845	2	0	1	1
	ENSG00000269888	248	1	7	0	1
RPL23AP42	ENSG00000234851	471	279	1013	260	358
OTOL1	ENSG00000182447	1434	0	0	0	0
	ENSG00000286705	1132	0	0	1	0
POLN	ENSG00000130997	7721	3	0	1	2
PIGG	ENSG00000174227	10899	1373	724	1098	1444
	ENSG00000205959	4513	22	0	28	36
	ENSG00000250613	329	0	0	0	0
OR7E163P	ENSG00000251166	894	0	0	0	0
RPL32P12	ENSG00000242209	405	0	0	0	0
ERVH-1	ENSG00000251292	639	0	0	0	0
	ENSG00000286318	1814	0	0	0	0
	ENSG00000287104	1111	77	70	112	120
PDE6B-AS1	ENSG00000242686	2353	13	1	6	16
	ENSG00000280310	1048	5	0	12	15
ENPP7P9	ENSG00000250476	627	0	0	0	0
	ENSG00000250074	337	0	0	0	0
	ENSG00000250039	4390	1	9	1	3
LINC00504	ENSG00000248360	5095	2	0	1	2
ABCA11P	ENSG00000251595	2790	62	214	68	88
	ENSG00000249988	649	0	0	0	1
GRPEL1	ENSG00000109519	4055	1637	1235	1416	1952
	ENSG00000249219	508	0	0	0	0
	ENSG00000251652	515	0	0	0	0
RAF1P1	ENSG00000250040	1696	0	0	0	0
SLC2A9	ENSG00000109667	6628	1	0	0	2
	ENSG00000250259	272	0	0	0	0
	ENSG00000251278	514	0	0	0	0
RNF212	ENSG00000178222	5005	0	0	0	0
	ENSG00000248564	487	0	0	3	1
LINC01097	ENSG00000281202	2226	0	0	0	0
	ENSG00000241612	483	1	5	2	1
TMEM271	ENSG00000273238	2416	250	44	306	340
	ENSG00000251188	550	0	0	0	0
HNRNPA1P65	ENSG00000248444	954	0	0	0	0
EVC	ENSG00000072840	7144	700	167	728	877
DHX15	ENSG00000109606	8166	10105	15281	8477	11165
RPS7P6	ENSG00000215278	579	0	0	0	0
CRMP1	ENSG00000072832	5851	18694	7470	20411	23574
MXD4	ENSG00000123933	6873	1365	303	1870	2013
CDC42P6	ENSG00000237350	576	8	66	19	8
ZNF595	ENSG00000272602	3929	721	780	659	828
CPZ	ENSG00000109625	3447	2	0	3	2
	ENSG00000251229	900	9	0	5	5
OR7E83P	ENSG00000249866	970	0	0	0	0
CFAP99	ENSG00000206113	5198	2	0	1	5
LINC02473	ENSG00000261121	2274	0	0	0	0
	ENSG00000287081	3912	0	0	0	0
	ENSG00000251535	529	0	0	0	0
STK32B	ENSG00000152953	5282	146	129	95	149
LINC01182	ENSG00000250634	6649	3	0	7	11
	ENSG00000248343	948	0	0	0	0
	ENSG00000284648	219	0	0	0	0
RNPS1P1	ENSG00000250896	918	36	46	37	54
MSX1	ENSG00000163132	2121	265	170	171	326
LINC00955	ENSG00000216560	2087	0	0	0	2
MTND2P31	ENSG00000251252	616	0	0	0	0
OR7E162P	ENSG00000234386	1029	0	0	0	0
LINC01396	ENSG00000273396	1548	1	0	3	0
QDPR	ENSG00000151552	3034	1949	1356	1903	2292
C1QTNF7-AS1	ENSG00000249252	907	1	0	1	0
	ENSG00000272927	737	28	10	32	42
IDUA	ENSG00000127415	4058	402	12	374	495
RPS21P4	ENSG00000242358	248	0	0	0	0
	ENSG00000187904	591	2	0	0	0
ATP5ME	ENSG00000169020	932	705	1813	899	1142
LINC02438	ENSG00000248238	1212	0	0	0	0
	ENSG00000250238	1156	0	0	0	0
CYTL1	ENSG00000170891	989	28	84	28	37
MYL5	ENSG00000215375	4305	77	4	95	117
	ENSG00000250505	748	0	0	0	0
TRMT44	ENSG00000155275	7752	473	163	424	534
TBC1D14	ENSG00000132405	6260	1599	979	1617	1825
SNRPCP13	ENSG00000249799	190	0	0	0	0
	ENSG00000251338	1117	0	0	0	0
	ENSG00000249780	340	0	3	0	0
	ENSG00000250321	142	41	63	61	94
	ENSG00000250573	694	0	0	0	0
	ENSG00000251639	1204	0	0	0	0
	ENSG00000272885	420	5	17	8	10
	ENSG00000288589	895	0	0	0	0
	ENSG00000275426	580	0	0	0	0
DRD5	ENSG00000169676	2376	0	0	0	0
	ENSG00000250092	721	0	0	0	0
	ENSG00000233799	286	3	0	0	3
SLC2A9-AS1	ENSG00000250413	459	0	0	0	0
	ENSG00000251152	4019	0	0	0	0
	ENSG00000251148	563	0	0	0	0
JAKMIP1	ENSG00000152969	3812	43	151	45	63
SH3BP2	ENSG00000087266	13918	1559	422	1586	1922
WDR1	ENSG00000071127	7827	2930	1825	2817	3538
	ENSG00000272588	719	3	10	2	3
	ENSG00000250371	2694	0	0	0	0
LINC02600	ENSG00000250986	4525	28	0	26	22
	ENSG00000286205	1735	3	0	4	0
	ENSG00000251689	310	0	0	0	0
LDB2	ENSG00000169744	5455	403	796	423	551
	ENSG00000248155	277	0	0	0	1
	ENSG00000250611	413	0	0	0	0
	ENSG00000249678	180	0	0	0	0
CPLX1	ENSG00000168993	2349	2441	393	3047	3774
	ENSG00000251412	764	0	0	0	0
ECM1P2	ENSG00000249995	1577	0	0	0	0
	ENSG00000248777	850	0	0	0	0
RNF4	ENSG00000063978	7141	2444	1521	1905	2694
	ENSG00000251679	457	0	0	0	0
	ENSG00000250681	466	0	0	1	0
ALG1L7P	ENSG00000251271	768	9	0	10	6
C4ORF50	ENSG00000181215	20673	79	38	97	107
	ENSG00000250915	956	0	0	0	0
	ENSG00000249766	142	0	0	0	0
	ENSG00000249077	616	0	0	0	0
	ENSG00000250393	289	0	0	0	0
ATP5MGP3	ENSG00000249256	304	0	0	0	0
	ENSG00000249443	367	0	0	0	0
ARL4AP2	ENSG00000248780	601	0	10	0	0
HMX1	ENSG00000215612	2166	1894	178	1788	2672
	ENSG00000251434	602	0	0	0	0
SLIT2-IT1	ENSG00000248228	636	0	0	0	0
	ENSG00000249564	133	0	0	0	0
	ENSG00000249998	451	0	0	0	0
KCNIP4-IT1	ENSG00000280650	9848	0	0	2	0
HSP90AB2P	ENSG00000205940	2299	19	27	19	19
CPEB2-DT	ENSG00000247624	3089	0	0	2	0
ADGRA3	ENSG00000152990	9261	6175	5361	5552	7077
	ENSG00000251517	1128	0	0	0	0
	ENSG00000268967	245	0	0	0	0
	ENSG00000251638	283	0	0	0	0
LINC02472	ENSG00000248338	1030	0	0	0	0
	ENSG00000242034	372	0	0	0	0
	ENSG00000228154	503	0	0	0	0
ENPP7P11	ENSG00000250942	627	0	0	0	0
	ENSG00000287659	667	0	0	0	0
GPR78	ENSG00000155269	10635	2	0	2	8
	ENSG00000260296	1157	64	58	49	49
RFPL4AP3	ENSG00000251220	345	0	0	0	0
	ENSG00000250098	316	0	0	0	1
	ENSG00000242768	359	0	0	0	0
	ENSG00000249828	556	0	0	0	0
OR7E84P	ENSG00000284689	1010	0	0	0	0
	ENSG00000279379	387	0	0	0	0
TLR10	ENSG00000174123	4218	0	0	0	0
	ENSG00000248532	210	0	0	0	0
OR7E86P	ENSG00000248364	990	0	0	0	0
COX6B1P5	ENSG00000249047	249	1	0	0	0
	ENSG00000260878	668	0	0	0	0
C4ORF19	ENSG00000154274	4470	22	0	13	15
EXOC1	ENSG00000090989	5367	994	2085	937	1119
TBC1D19	ENSG00000109680	4138	620	802	533	686
	ENSG00000279386	531	10	0	10	9
UCHL1-DT	ENSG00000251173	880	0	0	3	0
LINC02497	ENSG00000251182	641	0	0	0	0
LINC02513	ENSG00000248227	500	0	0	0	0
	ENSG00000242262	616	2	0	3	3
MTCYBP43	ENSG00000250624	740	0	0	0	0
TNIP2	ENSG00000168884	2652	441	97	376	546
LINC02383	ENSG00000248143	582	0	0	0	0
PPARGC1A	ENSG00000109819	10870	401	645	419	438
MTCO3P44	ENSG00000248654	541	0	0	0	0
	ENSG00000248851	712	0	0	0	0
	ENSG00000248262	423	0	0	0	0
	ENSG00000249452	432	0	0	0	0
	ENSG00000248936	534	3	0	10	3
LINC02270	ENSG00000251210	1307	0	0	0	0
ADRA2C	ENSG00000184160	2179	527	81	518	722
SPON2	ENSG00000159674	5985	14	0	11	35
SLIT2	ENSG00000145147	11067	860	1129	1100	1110
	ENSG00000249148	472	1	0	2	0
KCNIP4	ENSG00000185774	4239	5	0	13	7
	ENSG00000248417	332	0	0	0	0
	ENSG00000248939	606	0	0	0	0
LINC02498	ENSG00000283083	1079	0	0	0	0
PABPC1P1	ENSG00000231707	591	0	0	0	1
MTCO3P27	ENSG00000251430	196	0	0	0	0
	ENSG00000249563	541	0	0	0	0
	ENSG00000260262	713	1	0	0	0
	ENSG00000287762	2470	0	0	0	1
	ENSG00000248425	591	0	0	0	0
	ENSG00000250893	862	0	0	0	0
	ENSG00000280043	1712	1	0	0	0
	ENSG00000205794	1613	0	0	0	1
RPS3AP17	ENSG00000244031	777	0	0	0	0
CHRNA9	ENSG00000174343	3164	37	62	72	44
	ENSG00000249334	640	2	0	0	0
HOPX	ENSG00000171476	7753	11	0	22	22
SEL1L3	ENSG00000091490	7483	206	378	323	310
	ENSG00000249320	578	0	0	0	0
FGFRL1	ENSG00000127418	4342	3034	891	2579	3972
ZNF518B	ENSG00000178163	10915	0	0	0	0
	ENSG00000281016	753	1	0	7	2
CTBP1-DT	ENSG00000196810	7820	798	358	858	942
	ENSG00000271544	23	0	0	0	0
	ENSG00000249228	1604	0	0	0	0
ZNF732	ENSG00000186777	2346	0	0	0	0
MTND4P9	ENSG00000250050	1346	0	0	0	0
ELOCP33	ENSG00000271278	632	0	0	0	0
	ENSG00000286212	1241	0	0	0	0
ZNF721	ENSG00000182903	6390	795	2520	761	851
NKX3-2	ENSG00000109705	2259	2	0	5	2
MORF4L2P1	ENSG00000250147	858	2	0	0	0
	ENSG00000251615	3249	19	4	26	24
	ENSG00000244538	255	0	0	0	3
COMMD8	ENSG00000169019	1758	378	618	311	422
FAM114A1	ENSG00000197712	4871	112	92	107	161
LINC02171	ENSG00000250632	1033	0	0	0	0
STX18-AS1	ENSG00000247708	21283	149	133	147	178
OR7E85P	ENSG00000250884	985	0	0	0	0
LINC02505	ENSG00000248215	2182	0	0	0	0
BNIP3P41	ENSG00000248302	1029	0	0	0	0
SLAIN2	ENSG00000109171	6306	1653	2242	1452	1731
ZNF141	ENSG00000131127	12944	458	811	462	466
	ENSG00000287389	3584	0	0	0	0
	ENSG00000287099	684	0	0	0	0
	ENSG00000250243	794	1	0	0	1
	ENSG00000288321	2001	0	0	0	0
BOD1L1	ENSG00000038219	15862	3582	6365	3909	4006
	ENSG00000251186	664	0	0	0	0
	ENSG00000273179	397	0	0	3	4
FAM86EP	ENSG00000251669	4496	186	83	133	224
APBB2	ENSG00000163697	12956	405	559	745	562
	ENSG00000286297	786	0	0	0	0
	ENSG00000248466	667	0	0	0	0
	ENSG00000248399	220	4	0	0	0
OCIAD2	ENSG00000145247	2483	1736	1673	2081	2492
MTCO3P42	ENSG00000268391	518	0	0	0	0
	ENSG00000251642	367	0	0	0	0
RBM47	ENSG00000163694	8544	1	0	0	3
PSAPL1	ENSG00000178597	4646	0	0	0	1
	ENSG00000248608	1679	0	0	0	0
	ENSG00000251630	186	0	0	0	0
	ENSG00000249863	1058	48	55	29	49
RELL1	ENSG00000181826	4214	553	884	565	698
MTND3P24	ENSG00000249045	329	0	0	0	0
RPS29P11	ENSG00000242640	171	0	0	0	0
	ENSG00000279464	2458	17	27	8	6
	ENSG00000251501	1770	0	0	0	0
	ENSG00000261490	3510	29	5	7	20
	ENSG00000280015	922	0	0	0	0
	ENSG00000251080	482	0	0	0	0
	ENSG00000249079	374	0	0	0	0
TEC	ENSG00000135605	4004	6	0	13	13
WDR19	ENSG00000157796	8773	1202	1556	1113	1356
	ENSG00000286599	2912	15	27	4	12
	ENSG00000248254	601	0	2	1	4
	ENSG00000286141	2738	0	0	0	0
LINC02494	ENSG00000250340	427	0	0	0	0
HS3ST1	ENSG00000002587	7435	14	29	27	26
	ENSG00000251296	607	0	0	0	0
ZNF718	ENSG00000250312	5073	0	0	0	0
TLR6	ENSG00000174130	6035	0	0	0	0
LINC02278	ENSG00000251635	2044	0	0	0	0
	ENSG00000287999	728	1	0	0	0
LINC02364	ENSG00000250190	1747	0	0	0	0
HMGN1P11	ENSG00000248336	303	0	0	0	0
	ENSG00000248515	4694	0	0	0	0
	ENSG00000269848	156	0	0	0	0
KRT18P25	ENSG00000249064	1278	0	0	0	0
UCHL1	ENSG00000154277	2207	22315	11510	21514	27009
LINC02484	ENSG00000248685	3785	0	0	0	0
TAPT1-AS1	ENSG00000263327	2763	21	6	14	18
ZAR1	ENSG00000182223	1460	12	2	9	10
	ENSG00000249235	279	0	0	0	0
	ENSG00000250541	483	0	0	0	0
	ENSG00000242197	292	0	0	0	0
DCUN1D4	ENSG00000109184	7625	2294	4606	2089	2500
	ENSG00000287182	581	0	0	0	0
	ENSG00000286349	1293	0	0	0	2
	ENSG00000249887	201	0	0	0	1
	ENSG00000286046	1322	0	0	0	0
CTBP1-AS	ENSG00000280927	3886	58	21	30	44
	ENSG00000276507	403	0	0	0	0
LINC02283	ENSG00000248184	474	0	0	0	0
	ENSG00000284684	138	0	0	0	0
	ENSG00000250892	950	0	0	0	0
ZNF519P4	ENSG00000249025	125	0	0	0	0
	ENSG00000249453	442	0	0	0	0
	ENSG00000249216	435	4	15	1	3
	ENSG00000287320	2514	0	0	0	0
	ENSG00000248281	992	0	0	0	0
LINC02271	ENSG00000240152	829	0	0	0	0
PCGF3	ENSG00000185619	7425	2829	2430	2611	3365
	ENSG00000248176	1284	0	0	0	0
UNC93B7	ENSG00000251624	705	0	0	0	0
LINC02616	ENSG00000261761	3648	0	0	0	0
MTND4LP22	ENSG00000248133	276	0	0	0	0
	ENSG00000239983	353	0	0	0	1
	ENSG00000250863	9116	0	0	1	0
	ENSG00000275250	329	0	0	0	0
RAC1P2	ENSG00000249936	579	37	281	39	63
GABRB1	ENSG00000163288	2952	0	0	6	5
	ENSG00000250137	703	0	0	0	0
PTTG2	ENSG00000250254	731	2	0	0	1
	ENSG00000286089	415	1	0	3	3
OR7E35P	ENSG00000250425	881	0	0	0	0
CORIN	ENSG00000145244	10086	18	34	31	19
PDS5A	ENSG00000121892	12204	7682	14852	6848	8565
MTCYBP16	ENSG00000251385	1129	0	0	0	0
	ENSG00000250597	545	0	0	0	0
	ENSG00000251516	372	0	0	0	0
	ENSG00000250568	315	3	1	2	2
CLOCK	ENSG00000134852	11533	764	1282	705	835
ACOX3	ENSG00000087008	3846	461	175	420	571
CCNL2P1	ENSG00000248283	969	3	0	1	0
LINC02501	ENSG00000249882	1158	0	0	0	0
RPL22P13	ENSG00000242670	347	1	0	0	0
	ENSG00000205830	2509	0	0	0	0
	ENSG00000250753	357	33	17	22	12
CENPC	ENSG00000145241	8496	902	2303	969	1137
SNX18P23	ENSG00000250016	677	0	0	0	0
	ENSG00000285454	2324	1	1	4	4
	ENSG00000198277	716	0	0	0	0
	ENSG00000250954	3618	0	0	0	0
LINC02353	ENSG00000251329	849	0	0	0	0
	ENSG00000287360	1356	0	0	0	0
	ENSG00000282904	1126	0	0	0	0
MTCO3P28	ENSG00000248328	515	0	0	0	0
TMEM33	ENSG00000109133	8462	4577	6935	4238	4730
TECRL	ENSG00000205678	6023	0	0	0	0
LINC02483	ENSG00000251383	1143	0	0	0	0
SNX18P24	ENSG00000251539	671	0	0	0	0
UGT2B27P	ENSG00000251685	1620	0	0	0	0
	ENSG00000232471	765	1	0	1	1
	ENSG00000249330	6052	0	0	0	1
RPL21P44	ENSG00000229585	472	1	0	1	0
	ENSG00000251334	299	0	0	0	0
	ENSG00000279918	542	0	0	0	0
EXOC5P1	ENSG00000180673	1969	5	46	12	15
	ENSG00000250030	308	0	11	2	2
LINC02360	ENSG00000248300	657	0	0	0	0
	ENSG00000280285	3226	0	0	0	0
	ENSG00000245748	4300	3	0	1	3
	ENSG00000249892	760	0	0	0	0
LDHAP1	ENSG00000251587	992	0	1	0	0
SRIP1	ENSG00000248660	288	0	0	0	0
THAP12P9	ENSG00000248320	2360	0	0	0	0
LINC01096	ENSG00000246095	1264	0	0	0	0
	ENSG00000249441	239	0	0	0	0
	ENSG00000248138	730	0	0	0	0
	ENSG00000251410	3877	2	0	0	1
LINC02265	ENSG00000249241	957	0	0	0	0
UGT2B24P	ENSG00000249956	1597	0	0	0	0
RPS23P3	ENSG00000244099	430	0	0	0	0
	ENSG00000270292	1213	1	13	2	1
FIP1L1	ENSG00000145216	5639	842	345	807	906
	ENSG00000248416	569	0	0	0	2
	ENSG00000250333	2110	0	0	0	0
	ENSG00000271958	376	0	0	0	0
LIMCH1	ENSG00000064042	10862	596	908	547	612
	ENSG00000287382	1076	0	0	0	0
SLC34A2	ENSG00000157765	5045	0	0	0	0
MESTP3	ENSG00000250927	968	0	0	0	0
	ENSG00000248545	788	0	0	0	0
RPS26P24	ENSG00000243920	331	0	0	0	0
ZNF876P	ENSG00000198155	2804	0	6	0	0
MT2P1	ENSG00000162840	183	0	0	0	0
	ENSG00000275959	1597	0	0	0	0
	ENSG00000249729	1023	0	0	0	0
UGT2B10	ENSG00000109181	2757	0	0	0	0
	ENSG00000248837	7714	0	0	0	1
LINC02232	ENSG00000250125	6364	0	0	0	0
	ENSG00000288073	785	0	0	1	2
	ENSG00000250078	515	0	0	0	0
	ENSG00000251055	672	0	0	0	0
	ENSG00000249170	978	0	0	0	0
	ENSG00000286321	577	0	0	0	0
	ENSG00000251048	534	0	0	0	0
LINC02380	ENSG00000248505	2879	0	0	0	0
ATP1B1P1	ENSG00000249212	915	1	0	6	4
ZBTB12BP	ENSG00000180610	1122	6	0	4	2
TLR1	ENSG00000174125	4537	0	0	0	0
SULT1B1	ENSG00000173597	7259	0	0	0	0
OCIAD1-AS1	ENSG00000248256	265	28	48	13	21
SHISA3	ENSG00000178343	2322	253	274	309	305
SMIM14	ENSG00000163683	6527	513	605	649	630
	ENSG00000287534	2825	3	0	1	1
	ENSG00000258507	562	5	0	6	10
ANKRD17-DT	ENSG00000250220	685	13	0	17	11
SOD3	ENSG00000109610	2018	0	0	0	0
	ENSG00000249763	1415	0	0	0	0
	ENSG00000250906	477	0	0	2	0
SNX18P25	ENSG00000249337	758	0	0	0	0
	ENSG00000285998	1225	0	0	0	0
DCAF4L1	ENSG00000182308	4710	18	22	6	15
ATP8A1-DT	ENSG00000260519	433	0	0	0	1
	ENSG00000286596	2345	0	0	1	0
	ENSG00000251459	1712	0	0	0	0
	ENSG00000249706	835	0	0	0	0
KCTD8	ENSG00000183783	2712	692	624	609	854
	ENSG00000248518	540	0	0	0	0
HMGB1P44	ENSG00000248956	572	0	0	0	0
	ENSG00000250657	681	0	0	0	0
MTND3P5	ENSG00000251353	333	0	0	0	0
MTND6P16	ENSG00000249893	520	0	0	0	0
HNRNPA1P67	ENSG00000270665	926	1	0	2	0
LINC02261	ENSG00000249699	2802	0	0	0	0
SDAD1	ENSG00000198301	3491	2592	5276	2715	2982
	ENSG00000287154	585	0	0	0	0
AFM	ENSG00000079557	2182	0	0	0	0
SEC63P2	ENSG00000250416	1939	0	0	0	0
DCK	ENSG00000156136	3103	1461	3099	1299	1483
CABS1	ENSG00000145309	1517	0	0	0	0
DUTP7	ENSG00000250473	486	0	0	0	0
TMPRSS11B	ENSG00000185873	3352	0	0	0	0
	ENSG00000237961	765	0	0	0	0
ST3GAL1P1	ENSG00000250656	1014	3	0	3	3
LINC02493	ENSG00000250819	2090	0	0	0	0
DGKQ	ENSG00000145214	4983	341	34	336	466
SMR3B	ENSG00000171201	1383	0	0	0	0
	ENSG00000277096	281	0	0	0	0
SLIRPP2	ENSG00000249277	257	0	0	0	0
	ENSG00000227189	2165	0	0	0	0
UBE2K	ENSG00000078140	5180	5477	6539	4791	6025
	ENSG00000249122	561	169	268	189	189
COX7B2	ENSG00000170516	817	0	0	0	0
	ENSG00000286189	551	1	5	4	0
	ENSG00000272969	778	1	10	12	14
	ENSG00000286097	1897	0	0	0	0
	ENSG00000260918	7000	4	5	2	2
	ENSG00000249547	571	0	0	0	0
UGT2B11	ENSG00000213759	2357	0	0	0	0
SHROOM3	ENSG00000138771	13829	692	405	482	664
	ENSG00000250612	1426	0	0	0	0
	ENSG00000247810	3813	0	0	0	0
SCD5	ENSG00000145284	4231	1149	1210	1158	1406
LINC02475	ENSG00000251350	2984	1	7	1	1
KLF3	ENSG00000109787	6771	1189	1809	1441	1518
FRYL	ENSG00000075539	18165	3065	3924	3147	3439
GC	ENSG00000145321	2095	0	0	0	0
NAA11	ENSG00000156269	2718	6	0	0	2
EVC2	ENSG00000173040	5501	0	0	0	0
HNRNPD	ENSG00000138668	6981	23405	22523	21670	28580
	ENSG00000286784	3324	0	0	0	0
LIN54	ENSG00000189308	6762	1106	1564	1099	1296
LDHAL6EP	ENSG00000270098	1143	0	0	0	0
PHOX2B	ENSG00000109132	2847	25178	25698	28220	32689
	ENSG00000251373	913	0	0	0	0
THAP9	ENSG00000168152	4332	443	695	369	453
	ENSG00000248646	473	0	0	0	0
	ENSG00000251427	709	0	0	0	0
	ENSG00000250781	2305	0	0	0	0
	ENSG00000244669	768	0	0	0	0
LNX1	ENSG00000072201	5624	38	162	40	48
	ENSG00000272650	298	1	6	0	2
APOOP4	ENSG00000248122	597	0	0	0	0
LARP1BP1	ENSG00000231442	1359	0	0	0	0
GK2	ENSG00000196475	1868	0	0	0	0
	ENSG00000248744	672	7	0	7	3
NUDT9	ENSG00000170502	3194	763	960	737	855
	ENSG00000249771	1695	3	9	4	8
	ENSG00000249976	539	0	0	0	0
	ENSG00000249890	685	0	0	0	0
LINC00575	ENSG00000231782	1389	0	0	0	0
	ENSG00000249051	425	0	0	0	0
PRDM8	ENSG00000152784	4589	5759	2618	5926	7164
	ENSG00000249111	327	0	0	0	0
RPL12P20	ENSG00000239627	479	0	0	0	0
LNX1-AS1	ENSG00000250930	1381	0	0	0	0
	ENSG00000249105	313	0	0	0	0
MTND3P22	ENSG00000248946	243	0	0	0	0
	ENSG00000249831	2672	0	0	0	0
	ENSG00000251105	224	0	0	0	0
SMR3A	ENSG00000109208	666	0	0	0	0
STAP1	ENSG00000035720	1951	2	0	0	0
	ENSG00000224560	574	0	0	0	0
PSME2P4	ENSG00000251332	710	0	0	3	3
TBCAP3	ENSG00000249055	312	0	3	0	0
	ENSG00000249413	754	0	0	0	0
ATP10D	ENSG00000145246	7978	531	514	494	608
PRDX4P1	ENSG00000248987	574	0	0	0	0
LINC02499	ENSG00000250436	1193	0	0	0	0
	ENSG00000251325	649	0	0	0	0
	ENSG00000251264	624	0	0	0	0
NPM1P41	ENSG00000248543	831	0	0	0	0
	ENSG00000286150	1336	0	0	0	0
	ENSG00000250006	715	0	0	0	0
	ENSG00000248613	260	0	0	0	0
	ENSG00000272626	477	0	0	0	0
PPBPP1	ENSG00000250550	373	0	0	0	0
