gene_symbol	Ensembl_ID	length	R20230019_08_EKRN230075585-1A_22HFFNLT3_L4	R20230019_13_EKRN230075590-1A_22HFFNLT3_L4	R20230019_01_EKRN230075578-1A_22HFFNLT3_L3	R20230019_09_EKRN230075586-1A_22HFFNLT3_L4	R20230019_02_EKRN230075579-1A_222JL7LT4_L2	R20230019_03_EKRN230075580-1A_22HFFNLT3_L3	R20230019_16_EKRN230075593-1A_222JL7LT4_L2	R20230019_04_EKRN230075581-1A_222T7MLT4_L1	R20230019_07_EKRN230075584-1A_22HFFNLT3_L4	R20230019_11_EKRN230075588-1A_22HFFNLT3_L4	R20230019_10_EKRN230075587-1A_22HFFNLT3_L4	R20230019_05_EKRN230075582-1A_22HFFNLT3_L3	R20230019_14_EKRN230075591-1A_22HFFNLT3_L4	R20230019_15_EKRN230075592-1A_222JL7LT4_L2	R20230019_06_EKRN230075583-1A_22HFFNLT3_L4	R20230019_12_EKRN230075589-1A_22HFFNLT3_L4
SH3TC2	ENSG00000169247	38112	0	0	0	0	0	0	0	0	0	0	6	2	0	0	2	0
LINC02159	ENSG00000253417	2323	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
GABRA6	ENSG00000145863	3596	0	0	15	0	14	5	0	3	0	0	0	0	2	0	0	2
	ENSG00000253403	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLRXP3	ENSG00000118990	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
	ENSG00000247311	1197	0	8	1	1	0	0	0	0	9	0	5	9	0	0	31	0
ZNF474	ENSG00000164185	2083	0	11	3	12	4	1	6	1	32	3	3	16	6	0	26	7
ZNF474-AS1	ENSG00000249610	428	0	7	3	0	0	0	0	1	1	0	0	0	0	0	0	0
	ENSG00000272139	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000249621	583	0	0	0	4	0	0	0	0	1	0	4	1	0	0	0	6
	ENSG00000249916	563	0	7	0	0	0	0	0	0	0	0	0	1	0	0	1	0
	ENSG00000287794	970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MGC32805	ENSG00000250328	2393	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
SNCAIP	ENSG00000064692	7266	30	259	1	244	9	1	40	0	375	162	252	254	47	55	251	250
SLC4A9	ENSG00000113073	3641	17	21	7	11	5	3	8	12	8	9	3	8	16	6	14	0
RNU4-14P	ENSG00000222790	122	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKHD1	ENSG00000131503	11124	293	117	211	404	186	134	204	66	234	209	238	165	221	219	281	242
ANKHD1-EIF4EBP3	ENSG00000254996	11385	75	106	95	93	126	64	50	39	152	59	46	61	89	61	119	66
	ENSG00000200051	77	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
EIF4EBP3	ENSG00000243056	693	109	5	4	3	13	8	150	11	4	6	0	1	133	132	10	7
	ENSG00000283155	1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6831	ENSG00000283717	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000200235	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAUS1P1	ENSG00000251453	832	0	0	0	4	0	0	0	2	0	1	2	1	0	0	4	1
	ENSG00000240518	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD14	ENSG00000170458	1648	23	0	5	0	0	5	13	5	2	8	7	0	35	48	0	13
NDUFA2	ENSG00000131495	1474	1183	1114	687	1447	677	467	1011	859	1080	1204	1416	857	1079	1056	1593	1402
MIR3655	ENSG00000284325	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DND1	ENSG00000256453	1595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HARS2	ENSG00000112855	3719	2560	1553	701	1419	870	489	2469	359	1402	999	1050	1234	2416	2272	1931	1137
ZMAT2	ENSG00000146007	1709	2822	2305	1785	3715	1603	1239	2767	878	1961	2701	3436	1573	2462	2564	3117	2818
VTRNA1-1	ENSG00000199990	99	0	0	0	0	0	0	0	2	0	0	0	1	0	0	7	5
VTRNA1-2	ENSG00000202111	89	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
VTRNA1-3	ENSG00000202515	89	0	4	0	0	0	0	0	0	2	0	0	1	0	0	2	0
	ENSG00000250515	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000248106	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000279726	5043	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	4
PCDHA1	ENSG00000204970	5595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA2	ENSG00000204969	6057	0	0	8	11	6	3	0	4	0	3	4	0	0	0	3	1
PCDHA3	ENSG00000255408	7463	0	0	5	5	10	3	0	5	0	5	2	0	0	0	1	12
PCDHA4	ENSG00000204967	13443	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0
PCDHA5	ENSG00000204965	7117	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA6	ENSG00000081842	6136	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0
PCDHA7	ENSG00000204963	5791	0	0	0	2	3	0	0	0	0	2	3	0	0	0	0	9
PCDHA8	ENSG00000204962	5485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA9	ENSG00000204961	9769	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
	ENSG00000278907	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA10	ENSG00000250120	15664	10	0	0	0	4	2	0	3	0	3	7	0	0	3	0	9
PCDHA14	ENSG00000249504	2298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000278946	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA11	ENSG00000249158	6287	0	0	4	16	8	2	0	0	0	7	10	0	0	0	0	18
PCDHA12	ENSG00000251664	5541	0	0	0	8	0	1	0	0	0	4	8	0	0	0	0	14
	ENSG00000278915	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000278901	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHA13	ENSG00000239389	5441	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9
	ENSG00000279028	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHAC2	ENSG00000243232	6162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PCDHB1	ENSG00000171815	7973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000275038	3056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLX3	ENSG00000164438	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000213393	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL339P	ENSG00000265740	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP71	ENSG00000254256	872	0	6	0	0	0	0	0	0	0	4	6	0	0	0	0	0
SNORA70J	ENSG00000206909	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL10P8	ENSG00000254012	313	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR3912	ENSG00000264249	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FGF18	ENSG00000156427	1998	0	0	1	12	1	0	1	0	1	1	16	6	0	1	5	7
FOXI1	ENSG00000168269	2321	27	0	0	4	0	0	34	0	0	1	4	0	27	35	0	0
KRT18P41	ENSG00000253219	1277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01187	ENSG00000249601	2314	1	0	0	9	0	0	7	0	0	2	0	0	6	0	0	6
C5ORF58	ENSG00000234511	3184	24	4	0	40	0	0	10	0	11	32	26	0	12	14	4	9
KCNMB1	ENSG00000145936	6036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCP2	ENSG00000043462	6823	2760	1249	33	4913	59	22	3313	10	1235	3461	4574	1041	3128	2950	1228	4077
	ENSG00000288615	1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000250274	2272	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0
HARS1	ENSG00000170445	14155	4176	3840	3065	4171	2527	2091	3503	1476	3565	2914	3426	2752	3784	3803	4805	3346
Y_RNA	ENSG00000207317	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MALINC1	ENSG00000245146	7185	266	146	60	148	89	42	202	40	129	103	150	94	226	220	195	106
PURA	ENSG00000185129	12519	2882	1247	1338	1483	1462	930	2980	600	1091	1176	1222	908	2612	2986	1361	991
IGIP	ENSG00000182700	3456	678	318	124	167	157	103	493	61	263	189	170	222	574	587	445	152
	ENSG00000254363	6140	6	21	24	13	18	10	3	20	17	11	37	7	2	0	60	24
CYSTM1	ENSG00000120306	1857	1749	1951	997	592	735	712	1918	544	1161	634	683	1380	1746	1821	3631	573
	ENSG00000250069	3025	1	0	3	0	2	0	0	0	2	2	2	1	0	0	0	2
PFDN1	ENSG00000113068	2152	1740	1688	1040	1901	1138	707	1737	582	1267	1411	1767	1185	1745	1878	2077	1634
HBEGF	ENSG00000113070	2990	393	55	263	279	257	187	487	130	85	137	221	71	440	476	70	359
	ENSG00000258864	694	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0
SRP19	ENSG00000153037	10517	873	779	1201	1321	1179	803	780	398	882	972	1127	665	874	788	1316	874
REEP5	ENSG00000129625	3974	4681	4988	2287	8341	2407	1603	4944	1163	4250	6261	7927	3901	4403	4497	6808	6520
XBP1P1	ENSG00000249947	652	15	13	0	3	8	2	6	0	11	11	6	15	1	10	37	1
ZRSR2P1	ENSG00000212643	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD31	ENSG00000145700	6526	9	7	28	17	22	14	7	4	2	5	13	1	13	2	5	9
	ENSG00000253321	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000260871	896	6	0	1	1	4	5	7	0	4	4	7	1	1	2	0	7
	ENSG00000255647	670	3	14	3	8	6	10	7	1	8	0	4	11	6	6	18	1
MBLAC2	ENSG00000176055	5673	813	1601	361	513	347	230	873	90	1244	486	483	1271	812	824	1581	343
POLR3G	ENSG00000113356	4024	1964	755	189	657	278	118	2647	91	830	310	436	570	1989	2516	763	435
LYSMD3	ENSG00000176018	4459	1657	2775	1983	3069	2123	1553	1955	634	2629	2073	2378	2219	1963	1867	3423	1908
LINC01202	ENSG00000280776	4388	0	12	44	0	47	31	0	24	5	0	0	4	0	0	13	0
GABRG2	ENSG00000113327	22751	25	117	518	0	521	297	42	153	86	0	5	116	44	22	189	0
RPS4XP6	ENSG00000244073	797	0	1	0	0	2	1	0	0	1	2	4	2	0	0	7	6
RBISP2	ENSG00000271378	271	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OFD1P17	ENSG00000228212	3018	0	0	2	6	4	0	1	1	0	5	3	0	1	0	0	4
RN7SL37P	ENSG00000242493	307	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0
	ENSG00000270558	529	21	7	34	67	16	33	15	11	12	35	38	9	16	10	22	33
RNU7-75P	ENSG00000251880	62	18	7	4	18	0	4	8	10	3	31	21	0	13	9	3	10
KRT8P33	ENSG00000250539	1423	58	44	20	15	25	16	80	23	40	9	15	43	86	116	46	25
HMGB3P17	ENSG00000249400	649	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CEP120	ENSG00000168944	13029	2166	2117	2330	1642	2519	1745	2450	745	1760	1254	1410	1607	2186	2176	2267	971
CIR1P1	ENSG00000253146	1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3141	ENSG00000264760	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1303	ENSG00000221552	86	0	0	0	9	0	0	0	4	9	3	0	0	0	5	0	0
Y_RNA	ENSG00000274472	102	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
RN7SL803P	ENSG00000272197	307	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	ENSG00000241187	464	0	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0
FAXDC2	ENSG00000170271	6928	23	48	91	108	81	61	21	63	56	65	90	49	25	7	54	73
METAZOA_SRP	ENSG00000277039	316	1	0	4	7	3	2	0	4	0	0	7	7	0	0	4	1
MIR378H	ENSG00000263361	83	0	0	8	1	12	1	0	0	5	2	0	3	0	0	0	2
GEMIN5	ENSG00000082516	5644	1735	1051	576	3468	797	492	2432	262	1884	2118	2667	1008	1812	2034	1147	2506
RNU6-661P	ENSG00000199279	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKS1BP3	ENSG00000268942	237	14	22	29	21	59	24	29	28	16	7	18	10	14	7	27	18
	ENSG00000241991	358	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0
RPL35AP14	ENSG00000240436	321	4	0	0	1	1	0	0	1	0	0	0	0	0	0	5	0
LRRC70	ENSG00000186105	2163	14	3	4	24	9	1	24	0	1	22	31	3	15	6	3	17
GABRB2	ENSG00000145864	17138	654	10	714	191	709	522	1074	280	4	87	114	6	815	980	7	84
KIF2A	ENSG00000068796	13050	3957	4836	5070	5303	6038	3984	5548	1779	3929	3375	4030	3569	4289	4784	3796	3391
	ENSG00000288643	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNI2	ENSG00000205089	3181	152	61	4	8	3	1	116	1	52	7	1	87	192	147	107	1
SPRY4	ENSG00000187678	6555	44	926	36	47	45	21	32	3	1128	68	86	960	68	37	1152	36
ZFP62	ENSG00000196670	4197	744	1710	802	845	790	510	585	353	1559	682	713	1399	761	666	2305	548
ZNF454	ENSG00000178187	2662	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
PPIP5K2	ENSG00000145725	17270	2645	3235	2221	5377	2426	1506	3556	731	3616	3212	4111	2855	2941	3090	2637	3380
MGAT1	ENSG00000131446	11499	5467	4713	5156	12792	4556	3457	5175	2729	4355	11562	10721	3673	5544	4583	6722	10623
CETN3	ENSG00000153140	3090	741	832	499	494	510	368	634	306	763	457	493	610	567	719	813	419
TBCA	ENSG00000171530	3114	4085	2621	3182	3408	2899	1895	3309	2837	3362	3230	3511	2275	3322	3456	2717	3252
KCNIP1	ENSG00000182132	3367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLINT1	ENSG00000113282	6338	3986	5218	3879	8118	4278	2708	4671	1504	4820	5508	6851	3904	4505	4365	6038	5753
IPO11	ENSG00000086200	7540	784	1425	1014	2641	1352	787	1053	349	1572	1589	1882	1280	856	1056	1450	1583
PCDH12	ENSG00000113555	6114	25	1270	150	144	222	143	21	94	1265	170	156	1080	31	21	1024	122
TMCO6	ENSG00000113119	3494	1493	687	244	406	304	155	1203	126	872	264	369	447	1424	1509	696	325
BRD8	ENSG00000112983	7009	2685	2235	1407	4732	1773	1052	2401	652	2624	3126	4049	1963	2557	2518	3019	3791
SLC36A3	ENSG00000186334	4979	0	0	2	4	4	0	0	0	0	10	10	0	0	0	3	5
GMCL2	ENSG00000244234	2867	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
CSNK1A1	ENSG00000113712	8505	3110	4359	4853	5666	4344	3352	3681	2367	3665	4447	5136	3725	3412	3145	4922	4151
WWC1	ENSG00000113645	10082	795	1255	254	2329	197	139	1197	139	1318	1738	1918	848	890	1049	1099	1951
RAPGEF6	ENSG00000158987	11231	385	467	310	720	405	245	384	88	461	535	570	356	396	426	665	570
SEMA6A	ENSG00000092421	10906	22	110	16	62	30	18	3	14	88	30	62	84	13	21	232	20
RANBP3L	ENSG00000164188	4884	100	11	42	7	14	11	159	11	7	15	6	9	104	152	17	15
TRIM36	ENSG00000152503	6061	142	426	336	230	379	183	150	105	312	189	222	389	171	189	340	140
ABLIM3	ENSG00000173210	7225	0	0	0	3	1	6	0	4	0	4	9	5	0	0	7	0
DCTN4	ENSG00000132912	6403	2059	2452	1902	2499	1999	1342	2379	669	1703	1646	2154	1845	1855	2089	2431	1667
RNF145	ENSG00000145860	4614	3222	4369	2406	3801	3187	1635	3082	885	3479	2564	2922	3283	2856	2702	5296	2690
MYOZ3	ENSG00000164591	5861	2	0	6	0	0	0	1	0	1	0	0	0	0	2	0	0
TMEM161B	ENSG00000164180	9598	1066	1614	2034	2083	2396	1448	981	799	1892	1453	1592	1425	1081	990	2598	1392
F12	ENSG00000131187	2756	360	431	217	159	248	146	312	175	369	250	198	290	368	353	453	188
MIER3	ENSG00000155545	5763	1236	1882	1327	2228	1582	1018	1419	438	1402	1637	1841	1359	1272	1406	1978	1518
TNIP1	ENSG00000145901	5793	4836	6552	1778	5375	1537	1089	5053	731	6772	4251	4712	4958	4561	4702	8578	4570
MRPS27	ENSG00000113048	6517	2402	2667	5846	3945	6775	4011	2942	2865	4085	2896	3617	2733	2492	2511	2800	3453
PCDHAC1	ENSG00000248383	7016	0	0	0	5	1	0	0	0	0	3	7	0	0	0	0	2
H3Y2	ENSG00000268799	1110	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0
OTP	ENSG00000171540	3476	0	0	2	6	4	2	0	0	0	0	0	0	0	0	0	3
CHD1	ENSG00000153922	10487	3193	5143	1922	3914	2150	1363	3387	655	4174	2557	2877	4073	3189	3236	5288	2641
C6	ENSG00000039537	4857	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TARS1	ENSG00000113407	4257	19812	7013	21289	8437	21863	14925	21371	10939	6396	7694	8640	5673	18661	18254	8483	5851
SMN1	ENSG00000172062	3097	441	666	728	648	802	520	517	239	669	405	407	580	432	481	662	422
PRELID3BP5	ENSG00000251656	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3BP6	ENSG00000249516	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRELID3BP7	ENSG00000250711	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000286656	1386	75	306	75	12	45	47	32	11	212	13	14	204	53	55	382	11
	ENSG00000271788	811	30	17	2	0	0	0	12	3	11	2	0	18	6	11	39	0
	ENSG00000251131	1778	39	129	38	18	32	23	36	11	69	18	19	98	21	24	216	4
	ENSG00000272382	920	31	24	23	0	7	3	4	1	22	4	8	36	1	10	106	0
	ENSG00000272144	1047	17	53	37	9	23	27	11	16	32	5	12	40	30	29	125	7
	ENSG00000278487	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000249779	1103	0	2	0	7	0	0	0	0	1	2	3	0	0	0	0	0
	ENSG00000249888	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBAP14	ENSG00000247763	1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAST	ENSG00000153113	13341	3850	4171	2344	5094	3193	1671	4537	745	3255	3419	4265	3053	4101	4288	4233	3550
	ENSG00000185641	373	945	134	856	488	686	550	908	100	562	299	602	402	500	536	740	339
	ENSG00000272265	461	3	2	0	0	3	0	0	0	1	0	0	2	1	0	6	0
	ENSG00000271918	1610	80	76	8	8	4	5	31	9	94	3	15	74	42	34	122	9
	ENSG00000241870	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXO1B	ENSG00000214295	1527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000248560	1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD63B	ENSG00000222937	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD63	ENSG00000206989	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000232174	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000238745	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA9	ENSG00000113013	9782	17460	25403	24492	25671	23551	17681	18800	9612	19078	17570	20756	18602	17173	16095	28983	18562
LINC02230	ENSG00000251543	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000249149	881	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
FOXD1	ENSG00000251493	2863	158	3	0	156	0	0	170	0	4	193	138	1	183	244	7	207
FOXD1-AS1	ENSG00000247993	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01385	ENSG00000251604	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01386	ENSG00000251324	440	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
BTF3-DT	ENSG00000272525	744	32	38	15	14	5	10	38	1	38	15	12	27	49	43	37	15
FUNDC2P1	ENSG00000255883	570	0	9	0	0	3	2	0	0	3	0	2	1	5	3	4	1
ANKRA2	ENSG00000164331	2785	751	728	426	604	435	311	824	211	607	525	533	600	732	767	1020	497
UTP15	ENSG00000164338	6324	987	1426	912	1926	1005	619	1128	287	1521	1249	1488	1015	962	992	1602	1404
USP12P1	ENSG00000253213	1117	2	0	0	4	0	0	0	0	0	3	0	0	0	0	0	8
SAR1B	ENSG00000152700	10798	2716	2928	2372	4776	2342	1624	2603	1173	2941	3600	4366	2365	2558	2363	3646	3605
RNU6-1311P	ENSG00000207459	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC24A	ENSG00000113615	7291	2506	2229	3316	6186	3818	2504	3156	1050	2495	4058	5219	1910	2710	2695	2547	4357
RNU6-1164P	ENSG00000201298	107	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RNU6-757P	ENSG00000222266	100	0	0	3	3	0	0	1	0	3	4	8	0	2	1	0	4
CAMLG	ENSG00000164615	7414	2280	1111	865	1490	761	565	2306	548	1362	1219	1333	920	2075	2061	1427	1231
DDX46	ENSG00000145833	9205	3811	3476	3709	10505	4447	2527	3819	1299	4414	6230	8181	3104	3584	3571	3250	7610
	ENSG00000241179	355	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
C5ORF24	ENSG00000181904	5759	2646	2519	1208	1809	1212	821	2939	487	2292	1326	1479	1968	2801	2723	2690	1200
	ENSG00000270892	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
TXNDC15	ENSG00000113621	4807	1737	4148	3730	2919	3045	2638	1554	1925	3415	2477	2505	2822	1529	1511	5048	2207
	ENSG00000279799	457	12	32	18	15	27	19	7	23	34	27	26	8	1	10	29	24
	ENSG00000288081	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ENSG00000260581	1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPARC	ENSG00000113140	4641	2044	0	0	2026	0	0	2691	0	0	1385	1701	0	2002	2299	1	1579
CLMAT3	ENSG00000249035	3087	68	16	5	15	1	12	38	2	9	31	13	5	47	73	29	16
RN7SKP232	ENSG00000222102	290	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	1
	ENSG00000272112	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATOX1	ENSG00000177556	5239	2214	1826	909	2133	716	505	1910	734	1554	2214	2509	1280	1852	1940	2404	2441
ATOX1-AS1	ENSG00000253921	570	9	20	0	8	0	0	11	0	7	6	7	2	16	24	4	6
RPLP1P6	ENSG00000213433	520	11	12	7	4	16	0	7	5	12	16	31	22	6	7	46	21
GLRA1	ENSG00000145888	2443	0	3	2	2	3	0	0	2	2	0	0	6	0	0	1	5
	ENSG00000270978	1115	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
RNA5SP198	ENSG00000222308	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-923P	ENSG00000201623	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RXFP3	ENSG00000182631	2533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A2	ENSG00000164175	3223	0	3	2	4	0	1	5	1	0	2	0	1	0	0	3	2
	ENSG00000250914	1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMACR	ENSG00000242110	4847	46	28	101	113	95	62	46	86	27	50	43	29	45	49	25	44
C1QTNF3-AMACR	ENSG00000273294	3424	0	0	2	4	2	0	3	0	7	0	5	2	4	10	10	0
	ENSG00000250767	681	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0
C1QTNF3	ENSG00000082196	4547	66	17	48	97	77	51	47	14	20	51	104	18	67	41	28	83
	ENSG00000278900	587	19	0	2	1	0	1	7	2	3	0	1	0	3	2	3	1
	ENSG00000279995	224	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
	ENSG00000271771	647	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0
RN7SL684P	ENSG00000243959	294	0	0	3	9	0	0	0	0	0	0	3	4	0	3	0	0
Y_RNA	ENSG00000207420	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPRIN1	ENSG00000169258	4234	131	742	1202	1145	1365	714	196	532	700	1013	1167	519	145	203	644	1152
SNCB	ENSG00000074317	2008	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2
MIR4281	ENSG00000266329	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4E1B	ENSG00000175766	3509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN17	ENSG00000048140	5215	398	951	661	1261	808	408	314	443	494	1090	1114	506	310	313	1243	1162
SRFBP1	ENSG00000151304	3111	568	1008	422	1418	490	337	699	136	776	1042	1179	687	543	536	1124	986
LOX	ENSG00000113083	5596	143	123	17	60	21	12	77	1	100	40	37	65	103	112	171	57
NPM1	ENSG00000181163	8311	40976	24126	24642	55010	25228	17734	43195	14052	35417	33993	42088	24050	36135	40175	16131	40106
NDUFAF2	ENSG00000164182	6912	1011	1649	694	801	609	420	1084	436	1489	619	740	1195	885	975	1255	646
UGT3A2	ENSG00000168671	2683	32	0	59	53	30	41	20	37	2	51	74	5	23	21	2	50
	ENSG00000251591	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMBRD2	ENSG00000164187	8352	3963	1848	6700	3061	6864	4780	4679	1905	1628	2381	2759	1552	4514	4337	1793	2024
MIR580	ENSG00000207756	97	0	0	1	2	1	1	1	3	0	0	1	0	0	1	0	0
RNU6-1305P	ENSG00000201223	104	4	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
NADK2	ENSG00000152620	5015	1982	692	6052	1761	6464	4208	2338	2313	657	1372	1645	546	1945	1987	619	1320
NADK2-AS1	ENSG00000245711	720	31	9	83	43	55	52	19	39	11	42	52	20	41	26	16	24
SKP2	ENSG00000145604	17377	4653	1916	4307	2559	4855	3104	4010	1766	2049	2054	2273	1599	4560	4613	1683	1806
G3BP1	ENSG00000145907	20038	11709	7558	6141	21399	7329	4248	13558	2375	8050	13625	16175	5489	11905	12878	9675	13941
	ENSG00000259757	688	1	0	0	0	0	0	1	0	0	0	0	0	5	13	0	0
IRX2	ENSG00000170561	3399	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
LSINCT5	ENSG00000281560	2647	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ADRB2	ENSG00000169252	2013	362	79	0	1306	0	0	389	0	54	835	957	56	350	432	90	954
CDC20B	ENSG00000164287	4522	7	51	0	1	2	1	3	0	17	1	2	34	2	0	41	0
SHROOM1	ENSG00000164403	4181	59	525	63	751	30	31	66	21	517	658	688	392	91	77	659	675
ERBIN	ENSG00000112851	10132	2652	8202	6317	5806	6598	4737	4017	2009	6194	3943	4807	6591	3423	3245	7805	3675
