gene_symbol	Ensembl_ID	length	R20240016_C2_EKRN240009374-1A_223MF3LT4_L7	R20240016_C1_EKRN240009373-1A_22375FLT4_L6	R20240016_J2_EKRN240009376-1A_22375FLT4_L6	R240016_J4_1_EKRN240015053-1A_223L3FLT4_L7	R240016_C4_1_EKRN240015051-1A_223L3FLT4_L2	R240016_J3_1_EKRN240015052-1A_223L3FLT4_L6	R20240016_J1_EKRN240009375-1A_22375FLT4_L6	R240016_C3_1_EKRN240015050-1A_223L3FLT4_L4
	ENSG00000272472	1384	0	2	1	0	0	2	0	0
	ENSG00000217786	640	0	0	0	0	0	0	0	0
SLC25A5P7	ENSG00000218180	896	0	0	0	0	0	0	0	0
REV3L	ENSG00000009413	12425	1601	1161	1983	1288	1371	2078	1934	2097
	ENSG00000236920	771	0	0	0	0	0	0	0	0
GJA1	ENSG00000152661	3395	153	205	80	49	147	103	81	211
STX7	ENSG00000079950	16387	464	423	869	602	441	990	752	639
RPL35AP18	ENSG00000220311	305	0	0	0	0	0	0	0	0
MTFR2	ENSG00000146410	2450	258	355	289	197	331	310	275	397
	ENSG00000223811	507	0	0	0	0	2	0	1	0
LINC02534	ENSG00000228777	629	0	0	0	0	0	0	0	0
	ENSG00000216639	747	0	4	7	6	4	7	9	9
	ENSG00000217067	392	0	0	0	0	0	0	0	0
	ENSG00000232389	1101	5	4	2	6	7	2	4	8
KRT18P22	ENSG00000218153	1347	2	0	0	0	0	0	0	0
ENPP4	ENSG00000001561	4644	0	0	0	0	0	0	0	0
	ENSG00000287044	4211	0	0	0	3	3	4	2	4
	ENSG00000287731	1906	4	3	11	10	4	9	5	10
	ENSG00000236347	597	0	0	0	0	0	0	0	0
NUS1	ENSG00000153989	4796	1753	1979	2140	1491	1784	2560	1856	2698
	ENSG00000283010	993	5	1	7	1	6	9	2	8
	ENSG00000271208	594	0	0	0	0	0	0	0	0
	ENSG00000287598	1089	0	0	0	0	0	0	0	0
	ENSG00000283352	675	0	0	0	0	0	0	0	0
SENP6	ENSG00000112701	11417	3157	3155	3855	2534	3243	4428	3277	4505
TRERF1	ENSG00000124496	7732	1021	709	1105	666	912	1155	976	1463
RPS17P5	ENSG00000060303	408	0	0	0	0	0	0	0	1
SIM1-AS1	ENSG00000228082	380	0	0	0	0	0	0	0	0
CD2AP	ENSG00000198087	6751	839	823	956	670	910	1143	886	1187
FBXL4	ENSG00000112234	8118	830	659	1066	728	718	1202	809	1089
R3HDM2P2	ENSG00000216817	2116	0	0	0	0	0	0	0	0
	ENSG00000272476	2574	25	25	41	14	20	30	28	25
UBE2J1	ENSG00000198833	4164	1850	2024	2396	1463	1793	2363	2113	2530
ARMC2	ENSG00000118690	4254	99	76	154	90	105	197	148	151
SCML4	ENSG00000146285	9066	7	3	0	0	5	1	1	8
	ENSG00000220660	833	0	0	0	0	0	0	0	0
CALHM5	ENSG00000178033	9787	10	13	1	0	15	0	0	13
	ENSG00000273870	179	1	0	4	0	1	1	1	2
ANKS1A	ENSG00000064999	8498	1780	1704	2830	1590	1650	2807	2422	2530
	ENSG00000286511	2512	12	6	7	10	12	13	1	6
HACE1	ENSG00000085382	9237	1044	1086	1393	864	973	1603	1137	1475
	ENSG00000234117	737	0	0	0	0	0	0	0	0
NCOA7-AS1	ENSG00000232131	501	0	1	2	4	0	0	1	0
	ENSG00000224984	586	0	0	0	0	0	0	0	0
LYPLA1P3	ENSG00000218350	695	11	3	4	11	6	5	3	8
	ENSG00000287818	1610	0	0	0	0	0	0	0	0
TENT5A	ENSG00000112773	6053	506	580	518	330	611	414	478	604
	ENSG00000220506	654	3	0	5	4	1	4	1	7
PA2G4P5	ENSG00000225580	1178	5	4	5	7	3	8	6	1
RAP1BP3	ENSG00000219703	549	0	0	0	0	0	0	0	0
	ENSG00000270382	279	0	0	0	0	0	0	0	0
	ENSG00000262803	781	0	0	0	0	0	0	0	0
	ENSG00000220240	137	0	0	0	0	0	0	0	0
	ENSG00000237851	444	0	0	0	0	0	0	0	0
	ENSG00000218029	271	0	0	0	0	0	0	0	0
RPL23AP48	ENSG00000219135	488	0	0	0	0	0	0	0	0
SLC25A6P6	ENSG00000218870	778	0	0	0	0	0	0	0	0
FAM135A-AS1	ENSG00000224349	349	0	0	0	0	1	1	0	0
BVES	ENSG00000112276	5791	1938	1690	1741	1282	1838	1988	1457	2494
RPL12P2	ENSG00000216412	493	0	0	0	0	0	0	0	0
	ENSG00000218617	385	0	0	0	0	0	0	0	0
BTF3L4P3	ENSG00000213108	476	0	0	0	0	0	0	0	0
	ENSG00000285446	1180	0	0	0	0	0	0	0	0
FAM229B	ENSG00000203778	2551	143	194	218	132	169	248	191	248
	ENSG00000285941	1362	0	0	0	0	0	0	0	0
SOGA3	ENSG00000214338	4325	46	31	93	39	37	90	64	66
FAM184A	ENSG00000111879	7712	391	332	573	315	388	586	405	535
LINC01556	ENSG00000204709	466	0	0	0	0	0	2	0	0
LINC02865	ENSG00000229922	815	0	0	0	0	0	0	0	0
VTA1	ENSG00000009844	7258	2033	2125	2516	1705	2183	2813	2373	2784
	ENSG00000232909	669	103	53	150	106	85	202	118	169
	ENSG00000216913	611	0	0	0	0	0	0	0	0
	ENSG00000271111	905	0	0	0	0	0	0	0	0
FCF1P10	ENSG00000218490	479	0	0	0	0	0	0	0	0
LINC00951	ENSG00000204092	554	16	11	0	0	10	7	1	5
NT5DC1	ENSG00000178425	7307	662	664	1139	799	707	1287	1044	958
TPD52L1	ENSG00000111907	7595	0	1	3	4	1	4	0	2
	ENSG00000266680	1404	21	24	21	16	13	38	17	7
	ENSG00000261038	987	0	0	0	0	0	0	0	0
TMEM151B	ENSG00000178233	5475	397	387	475	243	353	594	450	691
	ENSG00000233511	187	2	0	0	0	0	0	0	0
RPL32P15	ENSG00000213461	400	0	0	0	0	0	0	0	0
RPL21P66	ENSG00000225343	466	0	0	0	0	0	0	0	0
	ENSG00000219404	604	4	0	0	1	1	1	0	6
	ENSG00000219302	534	0	0	0	0	0	0	0	0
ADGRF1	ENSG00000153292	12383	0	0	1	0	0	0	0	0
TRMT11	ENSG00000066651	5722	515	585	557	392	586	575	494	789
KCNK17	ENSG00000124780	2080	0	0	0	0	0	0	0	1
VNN3	ENSG00000093134	6016	0	0	0	0	0	0	0	0
	ENSG00000217776	306	0	0	0	0	0	1	0	0
COL21A1	ENSG00000124749	6912	2	2	0	0	2	0	0	0
	ENSG00000233558	623	0	0	0	0	0	0	0	0
RPS27AP11	ENSG00000218208	447	2	0	4	1	2	2	4	3
	ENSG00000262566	175	0	0	0	0	0	0	0	0
	ENSG00000272356	4315	48	52	66	47	44	89	54	72
LINC02880	ENSG00000175967	2261	3	1	3	0	0	0	4	2
HBS1L	ENSG00000112339	11085	1516	1718	2238	1479	1498	2244	2035	2013
	ENSG00000279398	447	0	0	1	0	0	0	0	1
RPL31P33	ENSG00000218049	340	0	0	0	0	0	0	0	0
LIN28B	ENSG00000187772	5943	928	830	525	380	821	586	485	1224
KRT18P9	ENSG00000271231	1300	0	0	0	0	0	0	0	0
	ENSG00000227885	5141	23	16	27	14	26	31	23	51
	ENSG00000279403	1166	0	0	0	0	0	0	0	0
	ENSG00000287413	2033	0	0	0	0	0	0	0	0
	ENSG00000224987	274	0	0	0	0	0	0	0	0
	ENSG00000287761	1159	0	0	0	0	0	0	0	0
FABP7	ENSG00000164434	2487	0	0	0	0	0	0	0	0
	ENSG00000226181	308	0	0	0	0	0	0	0	0
HINT3	ENSG00000111911	3325	935	828	909	526	828	912	717	1154
IL17F	ENSG00000112116	1030	0	0	0	0	0	0	0	0
	ENSG00000279114	6430	1	4	10	8	0	13	4	6
HLFP1	ENSG00000218194	499	0	0	0	0	0	0	0	0
YAP1P3	ENSG00000275953	1087	0	0	0	0	0	0	0	0
KRT18P50	ENSG00000219941	1243	0	0	0	0	0	0	0	0
ARL4AP5	ENSG00000218996	599	1	0	3	1	1	1	1	3
EEF1A1P42	ENSG00000277043	1331	0	0	0	0	0	0	0	0
	ENSG00000226089	786	0	0	0	0	0	0	0	0
	ENSG00000287097	896	0	7	3	1	1	2	4	7
CALHM6-AS1	ENSG00000244158	530	0	0	0	1	1	1	0	0
	ENSG00000271218	456	3	1	2	1	5	5	0	0
RRAGD	ENSG00000025039	5095	259	249	154	140	227	235	134	373
HLA-J	ENSG00000204622	1946	17	24	37	29	24	80	30	29
NDUFAB1P1	ENSG00000217767	460	0	0	1	1	0	0	0	1
	ENSG00000280277	2061	7	1	12	4	3	3	8	2
EPB41L2	ENSG00000079819	10320	8	3	9	4	14	9	4	7
POM121L14P	ENSG00000218189	1558	1	3	0	1	0	0	0	0
	ENSG00000271608	190	0	0	0	0	0	0	0	0
	ENSG00000227535	254	0	0	0	0	0	2	0	0
PEX3	ENSG00000034693	2830	253	281	385	248	253	414	272	364
	ENSG00000237494	349	0	0	0	0	0	0	0	0
RPS18P9	ENSG00000220848	1725	36	35	51	32	38	61	47	42
HSF2	ENSG00000025156	2697	968	1060	1415	919	976	1534	1202	1379
	ENSG00000270655	357	0	0	2	0	0	0	0	0
	ENSG00000226079	822	0	0	0	0	0	0	0	1
	ENSG00000285691	2866	0	0	0	0	0	0	0	0
	ENSG00000262048	535	0	0	0	0	0	3	0	0
	ENSG00000279659	1654	20	13	45	26	19	45	36	22
TINAG	ENSG00000137251	2159	0	0	0	0	0	0	0	0
	ENSG00000288054	3917	2	0	0	0	2	0	0	0
	ENSG00000232295	5169	11	0	9	6	2	6	3	3
	ENSG00000259828	3996	0	0	0	0	0	0	0	0
HTR1E	ENSG00000168830	1826	101	108	27	13	93	14	23	118
	ENSG00000216613	579	0	0	0	0	0	0	0	0
TBX18	ENSG00000112837	8654	99	94	67	39	126	64	65	123
ABRACL	ENSG00000146386	1137	404	550	403	233	453	394	348	561
TREM2	ENSG00000095970	1095	0	0	0	0	0	0	0	0
HDAC2	ENSG00000196591	15333	8373	9257	10872	6991	8165	11323	9401	10983
	ENSG00000223786	669	0	0	0	0	0	0	0	0
LINC02836	ENSG00000237567	734	0	0	0	0	0	0	0	0
	ENSG00000286691	1550	0	0	0	0	0	0	0	0
LINC01277	ENSG00000229017	4180	3	0	5	4	4	11	5	2
BCLAF1	ENSG00000029363	9533	8216	8118	10390	6814	7547	11527	9715	11348
NPM1P10	ENSG00000214428	865	0	0	0	0	0	0	0	0
MCM3	ENSG00000112118	3645	8978	10840	10621	6463	9544	10136	9544	12735
	ENSG00000270487	129	0	0	1	0	2	0	0	0
VNN1	ENSG00000112299	3853	0	0	0	0	0	0	0	0
	ENSG00000287393	1567	0	0	0	0	0	0	0	0
	ENSG00000220139	180	0	0	0	0	0	0	0	0
DAAM2-AS1	ENSG00000235033	6854	8	2	6	7	3	6	11	16
	ENSG00000219784	664	0	0	0	0	0	0	0	0
RPL7P28	ENSG00000218632	740	0	0	0	0	0	0	0	0
	ENSG00000277797	2407	0	0	0	0	0	0	0	0
GAPDHP73	ENSG00000226540	1007	0	0	0	0	0	0	0	0
	ENSG00000231683	3994	5	0	3	1	2	2	0	2
ADGRG6	ENSG00000112414	8473	2	0	0	0	0	0	0	0
	ENSG00000232290	396	0	0	0	0	2	1	0	0
FUT9	ENSG00000172461	13729	231	146	184	106	232	182	155	307
HDDC2	ENSG00000111906	5888	1019	1253	1172	741	1038	1157	1032	1412
	ENSG00000218274	1548	0	0	0	0	0	0	0	0
	ENSG00000271551	1249	10	5	27	22	20	34	23	31
	ENSG00000271498	532	0	0	0	0	0	0	0	0
	ENSG00000271265	446	19	12	16	18	17	27	11	41
IL22RA2	ENSG00000164485	2897	0	0	0	0	0	0	0	0
NKAIN2	ENSG00000188580	4456	0	0	0	0	0	0	0	0
CALHM6	ENSG00000188820	1186	0	0	0	0	0	0	0	0
MRPL42P3	ENSG00000219297	326	0	0	0	0	0	0	0	0
	ENSG00000283608	1217	0	0	0	0	0	0	0	0
TMEM244	ENSG00000203756	714	0	0	0	0	0	0	0	0
DHFRP6	ENSG00000219095	268	0	0	0	0	0	0	0	0
TARID	ENSG00000227954	8082	10	7	12	2	8	22	9	9
	ENSG00000271099	1675	0	0	1	2	0	0	0	0
BMP5	ENSG00000112175	3970	0	0	0	0	2	0	0	3
	ENSG00000220130	267	0	2	0	0	2	1	0	1
	ENSG00000271789	1385	10	15	11	11	14	18	12	21
	ENSG00000270484	1780	0	0	0	0	0	0	0	0
	ENSG00000219758	343	0	0	0	0	0	0	0	0
FAM136FP	ENSG00000217178	395	0	0	0	0	0	0	0	0
FAM83B	ENSG00000168143	6244	0	0	0	0	0	0	0	0
SNRPC	ENSG00000124562	1241	2328	3133	2680	1599	2418	2713	2598	3223
FCF1P5	ENSG00000220392	482	1	0	1	1	0	0	1	0
RAB32	ENSG00000118508	1065	718	1024	626	330	758	538	565	990
	ENSG00000286562	611	1	2	0	0	0	0	1	0
COL10A1	ENSG00000123500	3830	4	1	5	3	3	1	5	2
TRAF3IP2	ENSG00000056972	7871	101	83	40	37	90	67	33	129
MOXD1	ENSG00000079931	5223	46	48	21	12	59	14	18	68
	ENSG00000233138	349	0	0	0	0	0	0	0	0
	ENSG00000255389	2421	182	171	168	146	160	173	177	230
ASCC3	ENSG00000112249	11731	2392	2059	2927	1829	2134	2980	2525	3288
	ENSG00000233534	1287	0	0	0	0	0	0	0	0
	ENSG00000219619	255	0	0	0	0	0	0	0	0
	ENSG00000226599	614	0	0	0	0	0	0	0	0
PPP1R14C	ENSG00000198729	2219	0	0	0	0	0	0	0	0
	ENSG00000233183	14585	0	0	0	0	0	0	0	0
FNDC1-IT1	ENSG00000235086	516	0	0	0	0	0	0	0	0
	ENSG00000231329	5149	0	0	1	1	0	0	2	0
TUBB4BP7	ENSG00000217372	1234	0	0	0	0	0	0	0	0
EYS	ENSG00000188107	17071	7	12	6	8	6	7	7	14
	ENSG00000218313	936	1	0	0	0	1	0	1	1
	ENSG00000236389	929	0	0	0	0	0	0	0	0
	ENSG00000217231	649	0	0	0	0	0	0	0	0
HMGA1P7	ENSG00000216753	502	0	0	0	0	0	0	0	0
RPSAP42	ENSG00000219463	878	0	0	0	0	0	0	0	0
RFPL4B	ENSG00000251258	1898	0	0	0	0	0	0	0	0
	ENSG00000277973	383	0	0	0	0	0	0	0	0
RPS3AP23	ENSG00000218351	854	0	0	0	0	0	0	0	0
EFHC1	ENSG00000096093	22744	860	774	1419	932	943	1645	1101	1313
MED23	ENSG00000112282	7426	1199	1030	1841	1339	1252	2267	1752	1878
SNX3	ENSG00000112335	1828	4744	5595	5659	3271	4968	5449	4853	6297
	ENSG00000232031	471	0	0	4	0	0	0	0	0
LINC02840	ENSG00000224893	9564	4	0	5	2	1	0	1	3
TBC1D32	ENSG00000146350	6912	346	255	370	218	292	405	339	489
RPA3P2	ENSG00000218261	359	0	0	0	0	0	0	0	0
TAAR6	ENSG00000146383	1038	0	0	0	0	0	0	0	1
LINC02541	ENSG00000230943	2409	0	0	0	0	0	0	0	1
LINC02523	ENSG00000224506	3220	0	0	0	0	0	0	0	0
	ENSG00000283265	1160	0	0	0	0	0	0	0	0
FKBP1C	ENSG00000198225	1579	39	33	32	45	47	50	38	41
	ENSG00000287616	4672	9	22	7	6	6	15	5	8
	ENSG00000218596	378	0	0	2	0	0	3	0	2
WAKMAR2	ENSG00000237499	4150	0	0	0	0	0	0	0	0
	ENSG00000270509	1198	0	0	0	0	0	0	0	0
PLN	ENSG00000198523	2989	0	0	0	1	0	0	0	0
	ENSG00000219088	1673	0	0	0	0	0	0	0	0
PKIB	ENSG00000135549	3432	2	3	6	3	3	8	10	2
MAN1A1	ENSG00000111885	5018	1888	2246	3357	2342	1972	3358	3177	2533
	ENSG00000217477	559	0	0	0	0	0	0	0	0
FTH1P26	ENSG00000218213	701	0	0	0	0	1	0	0	0
FABP12P1	ENSG00000216265	322	0	0	0	0	0	0	0	0
	ENSG00000232618	3269	5	2	1	3	6	2	2	7
	ENSG00000217488	988	2	0	1	0	0	0	2	0
	ENSG00000235972	880	0	0	0	0	0	0	0	0
	ENSG00000226207	499	2	0	2	0	2	2	1	7
	ENSG00000223598	853	0	0	0	0	0	1	1	0
	ENSG00000217495	785	0	0	0	0	0	0	1	0
GOPC	ENSG00000047932	4628	1444	1419	2571	1547	1613	2813	1898	2224
	ENSG00000260574	87	0	0	0	0	0	0	0	0
CDK19	ENSG00000155111	7645	1675	1605	2978	1998	1679	3260	2582	2311
MAP3K4-AS1	ENSG00000272841	2025	64	94	71	57	72	82	72	77
FILNC1	ENSG00000231426	1918	0	0	0	0	0	0	0	0
LMBRD1	ENSG00000168216	10746	465	572	764	462	454	730	549	677
MARCKS	ENSG00000277443	4296	11953	14875	17735	10411	12868	18563	15071	17335
	ENSG00000220960	482	0	0	0	0	0	0	0	0
SMPDL3A	ENSG00000172594	2349	0	2	1	1	2	0	0	0
NDUFS5P1	ENSG00000218424	289	0	0	0	0	0	0	0	0
HECA	ENSG00000112406	5646	148	178	205	138	173	229	211	249
PPP1R14BP5	ENSG00000213133	435	0	0	0	0	0	0	0	0
NPM1P36	ENSG00000214604	835	0	0	0	0	0	0	0	0
NACAP7	ENSG00000218965	609	0	0	0	0	0	0	0	0
	ENSG00000219298	551	0	0	0	0	0	0	0	0
TAB2	ENSG00000055208	5922	2908	2786	3526	2291	2663	3772	3028	3860
TRAPPC3L	ENSG00000173626	2831	0	0	0	0	0	0	0	0
OSTCP1	ENSG00000243775	1226	0	0	0	0	0	0	0	1
RSPH4A	ENSG00000111834	2840	22	50	41	17	22	47	32	41
SLC18B1	ENSG00000146409	2844	4	0	0	0	1	3	0	2
PM20D2	ENSG00000146281	4703	2130	1897	2237	1588	2030	2477	1885	2935
	ENSG00000261116	1933	0	0	0	0	0	0	0	0
PNRC1-DT	ENSG00000271931	504	0	1	0	0	0	1	3	0
	ENSG00000219150	204	0	0	0	0	0	0	0	0
RPL7P29	ENSG00000214457	728	0	1	1	0	1	2	0	2
LINC00242	ENSG00000229214	4496	19	14	28	13	23	12	12	16
	ENSG00000227192	552	0	0	2	3	4	7	1	1
CYCSP55	ENSG00000214810	311	0	0	1	2	4	1	0	3
	ENSG00000224658	311	1	0	0	0	0	0	0	0
TNFRSF21	ENSG00000146072	3595	581	580	1183	755	657	1100	1012	858
ALDH8A1	ENSG00000118514	2858	3	3	3	1	2	4	3	2
	ENSG00000218048	968	0	0	1	0	0	0	0	0
STX11	ENSG00000135604	5504	0	0	1	0	0	0	0	0
	ENSG00000227455	4383	0	0	0	0	0	0	0	0
	ENSG00000228124	472	2	2	5	0	1	6	1	1
RNGTT	ENSG00000111880	5188	1420	1493	2363	1463	1351	2491	2006	1942
	ENSG00000224733	549	0	0	0	0	0	0	0	0
MTCYBP36	ENSG00000216853	440	0	0	0	0	0	0	0	0
OGFRL1	ENSG00000119900	9176	991	982	1064	752	995	1171	912	1331
	ENSG00000226733	1712	0	0	0	0	0	0	0	0
RPL32P16	ENSG00000219747	405	6	4	2	3	3	6	7	6
	ENSG00000213150	860	1	1	1	0	1	0	0	2
	ENSG00000233044	423	0	0	0	0	0	0	0	0
	ENSG00000218872	338	0	0	0	0	0	2	0	0
	ENSG00000230248	632	0	0	0	0	0	0	0	0
BTF3P10	ENSG00000231120	495	9	5	6	2	3	6	5	4
	ENSG00000269919	454	0	0	0	0	0	0	0	0
KRT19P1	ENSG00000218014	1186	0	0	0	0	0	0	0	0
MEMO1P2	ENSG00000213117	886	0	0	0	1	1	0	0	0
	ENSG00000218813	843	0	0	0	0	0	0	0	0
MTCO3P31	ENSG00000217044	789	0	0	0	0	0	0	0	0
SPTLC1P3	ENSG00000219940	259	0	0	0	0	0	0	0	0
	ENSG00000279960	1896	1	0	0	0	0	0	0	0
RPS6KA2	ENSG00000071242	8251	2729	2351	6182	3415	2621	5924	5546	3729
	ENSG00000226409	4786	0	0	0	0	0	0	0	0
HEY2	ENSG00000135547	2689	1	0	0	2	0	1	2	0
ATP5MGP2	ENSG00000232362	311	0	0	1	0	0	0	0	0
	ENSG00000220745	247	0	0	0	0	0	0	0	0
OARD1	ENSG00000124596	6529	658	830	918	608	764	893	781	934
	ENSG00000285976	4726	2	2	5	5	1	10	3	3
	ENSG00000231883	804	0	0	0	0	0	0	0	0
PLEKHG1	ENSG00000120278	10294	0	0	0	0	0	0	0	0
	ENSG00000216316	582	0	0	0	0	0	1	1	2
RPL23AP47	ENSG00000219814	460	0	0	0	1	0	0	0	0
	ENSG00000220412	1779	2	0	1	1	2	2	0	0
TAAR2	ENSG00000146378	1217	0	0	0	0	0	0	1	0
NDUFAF4	ENSG00000123545	2548	966	1188	976	559	907	976	837	1188
ADAT2	ENSG00000189007	7197	531	442	308	245	551	387	285	780
PDCL3P5	ENSG00000213089	722	3	1	2	1	3	2	4	5
POPDC3	ENSG00000132429	2280	632	654	596	379	603	562	503	792
	ENSG00000285726	2227	0	0	0	0	0	0	0	0
	ENSG00000277408	314	0	0	0	0	0	0	0	0
MTATP6P25	ENSG00000262095	261	0	0	0	0	0	0	0	0
VDAC1P8	ENSG00000229036	5136	61	53	66	48	61	118	35	95
RPL12P23	ENSG00000218716	490	0	0	0	0	0	0	0	0
	ENSG00000285159	2687	0	0	0	0	0	0	1	0
TREML2	ENSG00000112195	3785	0	0	0	0	0	0	0	0
	ENSG00000284999	905	0	0	0	0	0	0	0	0
DSE	ENSG00000111817	19194	431	417	542	369	472	615	471	603
PHBP1	ENSG00000213091	808	0	0	0	0	0	0	0	0
ANKRD6	ENSG00000135299	8347	143	126	113	90	146	148	119	227
	ENSG00000276687	1965	0	0	0	0	0	0	0	0
PDSS2	ENSG00000164494	3921	448	524	445	281	453	446	392	541
KLHL31	ENSG00000124743	5776	12	33	16	8	21	18	5	35
TBX18-AS1	ENSG00000228290	2076	0	0	0	1	0	0	0	0
	ENSG00000286364	2957	0	0	0	0	0	0	1	0
TMEM242	ENSG00000215712	5005	331	383	609	326	331	573	538	437
	ENSG00000286887	1202	0	3	0	0	0	0	0	5
	ENSG00000228408	2853	0	0	0	0	0	0	0	0
	ENSG00000285733	4233	0	0	1	2	1	2	1	4
	ENSG00000216642	381	0	0	0	0	0	0	0	0
ACTG1P9	ENSG00000229349	2658	0	0	0	0	0	0	0	0
RPS29P32	ENSG00000276703	78	0	0	0	0	0	0	0	0
IL17A	ENSG00000112115	1871	0	0	0	0	0	0	0	0
	ENSG00000217514	254	0	0	0	0	0	0	0	0
	ENSG00000236366	2556	1	0	0	0	1	0	0	0
ATG5	ENSG00000057663	5655	760	856	860	551	749	899	765	1023
	ENSG00000240056	288	0	0	0	0	0	0	0	0
HYMAI	ENSG00000283122	3347	6	1	5	2	4	2	1	11
TMEM242-DT	ENSG00000271040	514	1	10	3	1	6	3	4	1
ATP5MFP2	ENSG00000228834	259	3	2	2	2	3	3	1	0
RWDD1	ENSG00000111832	5867	1059	1504	1552	816	1122	1443	1269	1555
	ENSG00000269966	732	0	0	0	0	0	0	0	0
	ENSG00000217041	339	0	0	0	0	0	0	0	0
TAAR3P	ENSG00000179073	1078	0	0	0	0	0	0	0	0
PPIL6	ENSG00000185250	4481	93	60	107	69	49	104	84	83
	ENSG00000287976	301	0	0	0	0	0	0	0	0
	ENSG00000225879	4569	0	0	0	0	0	0	0	0
HIVEP2	ENSG00000010818	10655	632	451	339	255	549	347	287	713
MTHFD2P2	ENSG00000217169	247	0	0	0	0	0	0	0	1
MLIP-AS1	ENSG00000235050	4032	0	0	0	0	0	0	0	0
DINOL	ENSG00000285244	951	4	1	3	3	2	1	2	7
PERP	ENSG00000112378	4198	1	0	0	0	0	0	0	0
UST	ENSG00000111962	4861	1	0	0	0	0	0	0	0
	ENSG00000213087	398	0	0	0	3	0	1	0	2
GABRR1	ENSG00000146276	3775	0	0	0	0	0	0	0	0
	ENSG00000232891	378	0	0	0	0	0	0	0	0
ULBP3	ENSG00000131019	3111	7	22	9	5	9	7	10	11
	ENSG00000229923	334	0	0	0	0	0	0	0	0
MTND4LP19	ENSG00000219087	166	0	0	0	0	0	0	0	0
	ENSG00000285797	2004	0	0	0	0	0	0	0	0
	ENSG00000278206	2079	10	5	7	17	4	25	13	16
	ENSG00000224417	2559	0	0	0	0	0	0	0	0
	ENSG00000231912	375	0	0	0	0	0	0	0	0
	ENSG00000237596	8029	4	2	0	0	3	2	1	3
	ENSG00000236173	694	7	15	10	5	5	10	14	6
LINC01625	ENSG00000238099	7128	0	1	0	0	0	0	0	0
FAM8A6P	ENSG00000218772	1135	0	0	0	0	0	0	0	0
	ENSG00000288101	933	0	0	0	0	0	0	0	0
	ENSG00000287084	4322	1	0	0	0	0	0	0	3
LINC02531	ENSG00000220908	593	0	0	0	0	0	0	0	0
	ENSG00000276960	157	0	0	0	0	0	0	0	0
	ENSG00000218173	431	0	0	0	0	0	0	0	0
TINAG-AS1	ENSG00000228231	420	0	0	0	0	0	0	0	0
HEBP2	ENSG00000051620	10352	202	258	247	129	240	227	198	296
ATF1P1	ENSG00000219387	927	0	0	0	0	0	0	0	0
CHCHD2P4	ENSG00000213118	434	0	0	0	0	0	0	0	0
CAHM	ENSG00000270419	896	22	27	23	14	25	40	39	31
LUADT1	ENSG00000196634	453	1	0	0	0	0	0	0	0
	ENSG00000216480	466	2	0	0	0	3	0	0	0
AKAP12	ENSG00000131016	8775	3631	3331	3218	2119	3665	3032	2915	4838
LINC01626	ENSG00000223765	1194	0	0	0	0	0	0	0	0
NUDT19P3	ENSG00000216723	555	1	2	3	2	4	2	0	3
ARMC2-AS1	ENSG00000230290	112	2	0	0	5	2	3	0	1
RAET1L	ENSG00000155918	1346	0	0	0	0	0	0	0	0
TTK	ENSG00000112742	4579	1621	1648	1958	1329	1629	2125	1710	2313
	ENSG00000231178	1497	0	0	0	0	0	0	0	0
ARID1B	ENSG00000049618	45931	4325	3576	5338	3144	3946	5676	5085	5962
TUBB8P2	ENSG00000218896	495	2	1	2	1	1	0	7	4
HMGB3P19	ENSG00000217085	560	0	1	0	0	0	0	0	0
KIAA0408	ENSG00000189367	9164	24	14	50	29	18	51	23	31
	ENSG00000260771	659	0	0	0	0	0	0	0	0
	ENSG00000287877	1541	0	0	0	0	0	0	0	0
	ENSG00000286540	481	17	23	29	16	19	18	32	39
TPT1P4	ENSG00000217027	519	1	3	2	0	3	0	4	1
	ENSG00000276620	274	0	0	0	0	0	0	0	0
	ENSG00000225148	786	0	0	0	0	0	0	0	0
HSPD1P10	ENSG00000216990	1676	0	0	1	2	6	1	3	0
MTCO1P56	ENSG00000220340	224	0	0	0	0	0	0	0	0
SMPD2	ENSG00000135587	2053	167	240	227	130	194	276	199	244
	ENSG00000234675	446	0	0	0	0	0	0	0	0
	ENSG00000274594	285	0	0	0	0	0	0	0	0
RPS12	ENSG00000112306	639	8230	11066	13073	6235	8008	11849	11031	10457
	ENSG00000285887	4158	17	17	11	18	19	28	18	20
	ENSG00000285652	4140	0	0	0	0	0	0	0	0
KRT8P42	ENSG00000220378	1399	0	0	1	0	0	0	0	0
GJB7	ENSG00000164411	2727	2	1	4	4	6	0	2	1
	ENSG00000235168	378	0	0	0	0	0	0	0	0
SUMO4	ENSG00000177688	1017	3	3	2	0	1	2	1	0
CNKSR3	ENSG00000153721	21579	785	719	608	345	638	675	487	999
	ENSG00000271820	1953	0	0	0	0	0	0	0	0
	ENSG00000278128	3508	0	0	0	0	0	0	0	0
	ENSG00000213078	934	2	0	9	3	0	1	2	1
LINC02539	ENSG00000234956	1054	0	0	0	0	0	0	0	0
FOXO3	ENSG00000118689	7670	2931	2925	3675	2163	2545	4002	3455	4414
	ENSG00000225096	10016	47	67	18	11	65	25	13	95
CDC40	ENSG00000168438	5955	1485	1390	1719	1178	1275	2067	1508	1989
	ENSG00000287823	6815	44	16	12	11	44	23	15	46
SF3B5	ENSG00000169976	690	1777	2306	2506	1216	1833	2456	2113	2406
